"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb10g020860"	"SORBI_3010G155100"	"Sobic.010G155100"	"AT1G79580.1"	"ANAC033,SMB"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"LOC_Os06g33940.1"	"NAC domain containing protein, putative, expressed"
"Sb10g020870"	"SORBI_3010G155300"	"Sobic.010G155300"	""	""	""	"LOC_Os06g33970.1"	"VQ domain containing protein, putative, expressed"
"Sb10g020900"	"SORBI_3010G155500"	"Sobic.010G155500"	"AT1G30080.1"	""	"Glycosyl hydrolase superfamily protein"	"LOC_Os06g34020.1"	"glycosyl hydrolases family 17, putative, expressed"
"Sb10g020910"	"SORBI_3010G155600"	"Sobic.010G155600"	"AT1G53280.1"	""	"Class I glutamine amidotransferase-like superfamily protein"	"LOC_Os06g34040.1"	"DJ-1 family protein, putative, expressed"
"Sb10g020920"	"SORBI_3010G155800"	"Sobic.010G155800"	"AT1G29050.1"	"TBL38"	"TRICHOME BIREFRINGENCE-LIKE 38"	"LOC_Os06g34060.1"	" proteins of unknown function domain containing protein, expressed"
"Sb10g020950"	"SORBI_3010G156100"	"Sobic.010G156100"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os06g34120.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb10g020965"	"SORBI_3010G156700"	"Sobic.010G156700"	"AT2G42360.1"	""	"RING/U-box superfamily protein"	"LOC_Os06g34360.1"	"zinc finger, C3HC4 type domain containing protein, expressed"
"Sb10g020970"	"SORBI_3010G156800"	"Sobic.010G156800"	"AT5G27420.1"	"ATL31,CNI1"	"carbon/nitrogen insensitive 1"	"LOC_Os06g34390.1"	"zinc finger, C3HC4 type domain containing protein, expressed"
"Sb10g020980"	"SORBI_3010G157100"	"Sobic.010G157100"	"AT2G35000.1"	""	"RING/U-box superfamily protein"	"LOC_Os06g34400.1"	"zinc finger, C3HC4 type domain containing protein, expressed"
"Sb10g020990"	"SORBI_3010G157300"	"Sobic.010G157300"	"AT4G40070.1"	""	"RING/U-box superfamily protein"	"LOC_Os06g34400.1"	"zinc finger, C3HC4 type domain containing protein, expressed"
"Sb10g021060"	"SORBI_3010G158200"	"Sobic.010G158200"	"AT4G18425.1"	""	"Protein of unknown function (DUF679)"	"LOC_Os06g24490.1"	"expressed protein"
"Sb10g021140"	"SORBI_3010G159000"	"Sobic.010G159000"	""	""	""	"LOC_Os06g34730.1"	"expressed protein"
"Sb10g021150"	"SORBI_3010G159100"	"Sobic.010G159100"	"AT1G09310.1"	""	"Protein of unknown function, DUF538"	"LOC_Os06g34790.1"	"DUF538 domain containing protein, putative, expressed"
"Sb10g021160"	"SORBI_3010G159400"	"Sobic.010G159400"	"AT1G17120.1"	"CAT8"	"cationic amino acid transporter 8"	"LOC_Os06g34830.1"	"amino acid permease family protein, putative, expressed"
"Sb10g021170"	"SORBI_3010G159500"	"Sobic.010G159500"	"AT2G18370.1"	""	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"LOC_Os06g34840.1"	"LTPL5 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed"
"Sb10g021250"	"SORBI_3010G159700"	"Sobic.010G159700"	"AT4G18550.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os05g49840.1"	"phospholipase, putative, expressed"
"Sb10g021260"	"SORBI_3010G159900"	"Sobic.010G159900"	"AT4G18550.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os05g49840.1"	"phospholipase, putative, expressed"
"Sb10g021270"	"SORBI_3010G160000"	"Sobic.010G160000"	"AT4G18550.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os05g49840.1"	"phospholipase, putative, expressed"
"Sb1306s002010"	"SORBI_3010G160033"	"Sobic.010G160033"	"AT4G18550.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os05g49840.1"	"phospholipase, putative, expressed"
"Sb10g021280"	"SORBI_3010G160200"	"Sobic.010G160200"	"AT4G18335.1"	""	""	"LOC_Os06g34850.1"	"expressed protein"
"Sb10g021290"	"SORBI_3010G160300"	"Sobic.010G160300"	"AT1G32790.1"	"CID11"	"CTC-interacting domain 11"	"LOC_Os06g35030.3"	"RNA recognition motif containing protein, putative, expressed"
"Sb10g021300"	"SORBI_3010G160400"	"Sobic.010G160400"	"AT1G15710.1"	""	"prephenate dehydrogenase family protein"	"LOC_Os06g35050.1"	"arogenate dehydrogenase 1, chloroplast precursor, putative, expressed"
"Sb10g021310"	"SORBI_3010G160500"	"Sobic.010G160500"	"AT3G18600.1"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os03g58810.1"	"DEAD-box ATP-dependent RNA helicase, putative, expressed"
"Sb10g021330"	"SORBI_3010G160700"	"Sobic.010G160700"	"AT2G42600.1"	"ATPPC2,PPC2"	"phosphoenolpyruvate carboxylase 2"	"LOC_Os02g14770.3"	"phosphoenolpyruvate carboxylase, putative, expressed"
"Sb10g021360"	"SORBI_3010G160900"	"Sobic.010G160900"	"AT2G38300.1"	""	"myb-like HTH transcriptional regulator family protein"	"LOC_Os06g35140.1"	"MYB family transcription factor, putative, expressed"
"Sb10g021570"	"SORBI_3010G161000"	"Sobic.010G161000"	"AT4G18700.1"	"ATWL4,CIPK12,SnRK3.9,WL4"	"CBL-interacting protein kinase 12"	"LOC_Os06g35160.1"	"CAMK_KIN1/SNF1/Nim1_like.26 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Sb10g021580"	"SORBI_3010G161300"	"Sobic.010G161300"	"AT5G45800.1"	"MEE62"	"Leucine-rich repeat protein kinase family protein"	"LOC_Os06g35200.1"	"receptor-like kinase, putative, expressed"
"Sb10g021590"	"SORBI_3010G161400"	"Sobic.010G161400"	"AT2G15450.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os06g35320.1"	"polygalacturonase, putative, expressed"
"Sb0344s002010"	"SORBI_3010G161450"	"Sobic.010G161450"	"AT1G29200.2"	""	"O-fucosyltransferase family protein"	"LOC_Os06g35410.1"	"growth regulator related protein, putative, expressed"
"Sb10g021610"	"SORBI_3010G161600"	"Sobic.010G161600"	"AT5G05340.1"	""	"Peroxidase superfamily protein"	"LOC_Os06g35520.1"	"peroxidase precursor, putative, expressed"
"Sb10g021620"	"SORBI_3010G161700"	"Sobic.010G161700"	"AT5G05340.1"	""	"Peroxidase superfamily protein"	"LOC_Os06g35520.1"	"peroxidase precursor, putative, expressed"
"Sb10g021640"	"SORBI_3010G161900"	"Sobic.010G161900"	"AT5G05340.1"	""	"Peroxidase superfamily protein"	"LOC_Os06g35490.1"	"peroxidase precursor, putative, expressed"
"Sb10g021650"	"SORBI_3010G162000"	"Sobic.010G162000"	"AT5G05340.1"	""	"Peroxidase superfamily protein"	"LOC_Os06g35520.1"	"peroxidase precursor, putative, expressed"
"Sb10g021660"	"SORBI_3010G162200"	"Sobic.010G162200"	"AT2G20495.1"	""	""	"LOC_Os07g27460.2"	"serine/threonine-protein kinase 19, putative, expressed"
"Sb10g021660"	"SORBI_3010G162200"	"Sobic.010G162200"	"AT2G20495.1"	""	""	"LOC_Os07g27460.1"	"serine/threonine-protein kinase 19, putative, expressed"
"Sb10g021663"	"SORBI_3010G162300"	"Sobic.010G162300"	"AT5G60440.1"	"AGL62"	"AGAMOUS-like 62"	"LOC_Os06g30810.1"	"OsMADS75 - MADS-box family gene with M-alpha type-box, expressed"
"Sb10g021670"	"SORBI_3010G162500"	"Sobic.010G162500"	"AT4G20820.1"	""	"FAD-binding Berberine family protein"	"LOC_Os06g35560.1"	"reticuline oxidase-like protein precursor, putative, expressed"
"Sb10g021680"	"SORBI_3010G162700"	"Sobic.010G162700"	"AT5G44410.1"	""	"FAD-binding Berberine family protein"	"LOC_Os06g35590.1"	"reticuline oxidase-like protein precursor, putative, expressed"
"Sb10g021690"	"SORBI_3010G162900"	"Sobic.010G162900"	"AT5G44390.1"	""	"FAD-binding Berberine family protein"	"LOC_Os06g35700.1"	"reticuline oxidase-like protein precursor, putative, expressed"
"Sb10g021700"	"SORBI_3010G163000"	"Sobic.010G163000"	"AT5G44400.1"	""	"FAD-binding Berberine family protein"	"LOC_Os06g35700.1"	"reticuline oxidase-like protein precursor, putative, expressed"
"Sb10g021735"	"SORBI_3010G163732"	"Sobic.010G163732"	""	""	""	"LOC_Os06g35830.1"	"expressed protein"
"Sb10g021750"	"SORBI_3010G163900"	"Sobic.010G163900"	"AT1G78700.1"	"BEH4"	"BES1/BZR1 homolog 4"	"LOC_Os06g35900.1"	"BES1/BZR1 homolog protein, putative, expressed"
"Sb10g021790"	"SORBI_3010G164200"	"Sobic.010G164200"	"AT1G65480.1"	"FT"	"PEBP (phosphatidylethanolamine-binding protein) family protein"	"LOC_Os06g35940.1"	"osFTL12 FT-Like12 homologous to Flowering Locus T gene; contains Pfam profile PF01161- Phosphatidylethanolamine-binding protein, expressed"
"Sb10g021800"	"SORBI_3010G164400"	"Sobic.010G164400"	"AT3G24520.1"	"AT-HSFC1,HSFC1"	"heat shock transcription factor  C1"	"LOC_Os06g35960.1"	"HSF-type DNA-binding domain containing protein, expressed"
"Sb10g021810"	"SORBI_3010G164500"	"Sobic.010G164500"	"AT2G42840.1"	"PDF1"	"protodermal factor 1"	"LOC_Os06g35970.1"	"meiosis 5, putative, expressed"
"Sb10g021880"	"SORBI_3010G164900"	"Sobic.010G164900"	"AT5G11620.1"	""	"SWIM zinc finger family protein / mitogen-activated protein kinase kinase kinase (MAPKKK)-related"	"LOC_Os06g36030.1"	"SWIM zinc finger family protein, expressed"
"Sb10g021890"	"SORBI_3010G165000"	"Sobic.010G165000"	"AT5G25840.1"	""	"Protein of unknown function (DUF1677)"	"LOC_Os06g36040.1"	"expressed protein"
"Sb10g021900"	"SORBI_3010G165100"	"Sobic.010G165100"	"AT2G22795.1"	""	""	"LOC_Os06g36050.1"	"expressed protein"
"Sb10g021910"	"SORBI_3010G165200"	"Sobic.010G165200"	"AT1G52140.1"	""	""	"LOC_Os06g36070.1"	"expressed protein"
"Sb10g021960"	"SORBI_3010G166300"	"Sobic.010G166300"	""	""	""	"LOC_Os06g23910.1"	"expressed protein"
"Sb10g021980"	"SORBI_3010G166500"	"Sobic.010G166500"	"AT1G58360.1"	"AAP1,NAT2"	"amino acid permease 1"	"LOC_Os06g36180.1"	"amino acid transporter, putative, expressed"
"Sb10g021990"	"SORBI_3010G166600"	"Sobic.010G166600"	"AT1G10010.1"	"AAP8,ATAAP8"	"amino acid permease 8"	"LOC_Os06g36210.1"	"amino acid transporter, putative, expressed"
"Sb10g022000"	"SORBI_3010G166700"	"Sobic.010G166700"	"AT1G20030.2"	""	"Pathogenesis-related thaumatin superfamily protein"	"LOC_Os10g05660.1"	"thaumatin, putative, expressed"
"Sb10g022010"	"SORBI_3010G166800"	"Sobic.010G166800"	"AT1G58360.1"	"AAP1,NAT2"	"amino acid permease 1"	"LOC_Os06g36210.1"	"amino acid transporter, putative, expressed"
"Sb10g022060"	"SORBI_3010G167500"	"Sobic.010G167500"	"AT5G25930.1"	""	"Protein kinase family protein with leucine-rich repeat domain"	"LOC_Os06g36270.5"	"receptor-like protein kinase 5 precursor, putative, expressed"
"Sb10g022080"	"SORBI_3010G167800"	"Sobic.010G167800"	"AT4G29140.1"	""	"MATE efflux family protein"	"LOC_Os06g36330.1"	"MATE domain containing protein, expressed"
"Sb10g022105"	"SORBI_3010G168100"	"Sobic.010G168100"	"AT4G26288.1"	""	""	"LOC_Os06g36390.2"	"expressed protein"
"Sb10g022110"	"SORBI_3010G168200"	"Sobic.010G168200"	"AT4G25150.1"	""	"HAD superfamily, subfamily IIIB acid phosphatase "	"LOC_Os06g36400.1"	"HAD superfamily phosphatase, putative, expressed"
"Sb10g022120"	"SORBI_3010G168400"	"Sobic.010G168400"	"AT5G03570.2"	"ATIREG2,FPN2,IREG2"	"iron regulated 2"	"LOC_Os06g36450.1"	"ferroportin1 domain containing protein, expressed"
"Sb10g022120"	"SORBI_3010G168400"	"Sobic.010G168400"	"AT5G03570.1"	"ATIREG2,FPN2,IREG2"	"iron regulated 2"	"LOC_Os06g36450.1"	"ferroportin1 domain containing protein, expressed"
"Sb10g022130"	"SORBI_3010G168500"	"Sobic.010G168500"	"AT4G29230.1"	"anac075,NAC075"	"NAC domain containing protein 75"	"LOC_Os06g36480.1"	"no apical meristem protein, putative, expressed"
"Sb10g022150"	"SORBI_3010G168700"	"Sobic.010G168700"	"AT1G29670.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os06g36520.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb10g022160"	"SORBI_3010G168800"	"Sobic.010G168800"	"AT1G14520.2"	"MIOX1"	"myo-inositol oxygenase 1"	"LOC_Os06g36560.1"	"inositol oxygenase, putative, expressed"
"Sb10g022170"	"SORBI_3010G168900"	"Sobic.010G168900"	"AT2G19600.1"	"ATKEA4,KEA4"	"K+ efflux antiporter 4"	"LOC_Os06g36590.1"	"transporter, monovalent cation-proton antiporter-2 family, putative, expressed"
"Sb10g022190"	"SORBI_3010G169000"	"Sobic.010G169000"	"AT3G21250.2"	"ATMRP6,MRP6"	"multidrug resistance-associated protein 6"	"LOC_Os05g10730.1"	"ABC transporter, ATP-binding protein, putative, expressed"
"Sb10g022200"	"SORBI_3010G169100"	"Sobic.010G169100"	"AT2G26040.1"	"PYL2,RCAR14"	"PYR1-like 2"	"LOC_Os06g36670.1"	"bet v I allergen family protein, putative, expressed"
"Sb10g022210"	"SORBI_3010G169200"	"Sobic.010G169200"	"AT4G32980.1"	"ATH1"	"homeobox gene 1"	"LOC_Os02g13310.1"	"homeobox domain containing protein, expressed"
"Sb10g022250"	"SORBI_3010G169700"	"Sobic.010G169700"	"AT5G56750.1"	"NDL1"	"N-MYC downregulated-like 1"	"LOC_Os06g36740.1"	"pollen-specific protein SF21, putative, expressed"
"Sb10g022260"	"SORBI_3010G169900"	"Sobic.010G169900"	"AT1G17720.2"	"ATB BETA"	"Protein phosphatase 2A, regulatory subunit PR55"	"LOC_Os06g36770.2"	"serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B, putative, expressed"
"Sb10g022270"	"SORBI_3010G170000"	"Sobic.010G170000"	"AT2G19450.1"	"ABX45,AS11,ATDGAT,DGAT1,RDS1,TAG1"	"membrane bound O-acyl transferase (MBOAT) family protein"	"LOC_Os06g36800.1"	"O-acyltransferase, putative, expressed"
"Sb10g022300"	"SORBI_3010G170300"	"Sobic.010G170300"	"AT1G02850.2"	"BGLU11"	"beta glucosidase 11"	"LOC_Os09g33680.1"	"Os9bglu31 - beta-glucosidase, dhurrinase, similar to G. max hydroxyisourate hydrolase, expressed"
"Sb10g022310"	"SORBI_3010G170400"	"Sobic.010G170400"	"AT2G26170.1"	"CYP711A1,MAX1"	"cytochrome P450, family 711, subfamily A, polypeptide 1"	"LOC_Os06g36920.1"	"cytochrome P450, putative, expressed"
"Sb10g022340"	"SORBI_3010G170600"	"Sobic.010G170600"	"AT3G51910.1"	"AT-HSFA7A,HSFA7A"	"heat shock transcription factor  A7A"	"LOC_Os06g36930.1"	"HSF-type DNA-binding domain containing protein, expressed"
"Sb10g022360"	"SORBI_3010G170900"	"Sobic.010G170900"	"AT3G13780.1"	""	"SMAD/FHA domain-containing protein "	"LOC_Os06g36940.1"	"expressed protein"
"Sb10g022370"	"SORBI_3010G171000"	"Sobic.010G171000"	"AT1G17500.1"	""	"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein"	"LOC_Os06g36990.1"	"phospholipid-transporting ATPase 4, putative, expressed"
"Sb10g022390"	"SORBI_3010G171300"	"Sobic.010G171300"	"AT1G10970.1"	"ATZIP4,ZIP4"	"zinc transporter 4 precursor"	"LOC_Os05g10940.1"	"metal cation transporter, putative, expressed"
"Sb10g022390"	"SORBI_3010G171300"	"Sobic.010G171300"	"AT1G10970.1"	"ATZIP4,ZIP4"	"zinc transporter 4 precursor"	"LOC_Os06g37010.2"	"metal cation transporter, putative, expressed"
"Sb10g022420"	"SORBI_3010G171600"	"Sobic.010G171600"	"AT4G08500.1"	"ARAKIN,ATMEKK1,MAPKKK8,MEKK1"	"MAPK/ERK kinase kinase 1"	"LOC_Os03g15570.1"	"STE_MEKK_ste11_MAP3K.12 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"Sb10g022420"	"SORBI_3010G171600"	"Sobic.010G171600"	"AT1G11300.1"	""	"protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding"	"LOC_Os03g15570.1"	"STE_MEKK_ste11_MAP3K.12 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"Sb10g022430"	"SORBI_3010G171800"	"Sobic.010G171800"	"AT5G21105.2"	""	"Plant L-ascorbate oxidase"	"LOC_Os06g37080.1"	"L-ascorbate oxidase precursor, putative, expressed"
"Sb10g022430"	"SORBI_3010G171800"	"Sobic.010G171800"	"AT5G21105.1"	""	"Plant L-ascorbate oxidase"	"LOC_Os06g37080.1"	"L-ascorbate oxidase precursor, putative, expressed"
"Sb10g022440"	"SORBI_3010G171900"	"Sobic.010G171900"	"AT5G21100.1"	""	"Plant L-ascorbate oxidase"	"LOC_Os06g37150.1"	"L-ascorbate oxidase precursor, putative, expressed"
"Sb10g022460"	"SORBI_3010G172100"	"Sobic.010G172100"	"AT1G29950.2"	""	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"LOC_Os03g39432.1"	"CPuORF31 - conserved peptide uORF-containing transcript, expressed"
"Sb10g022460"	"SORBI_3010G172100"	"Sobic.010G172100"	"AT1G29950.1"	""	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"LOC_Os03g39432.2"	"CPuORF31 - conserved peptide uORF-containing transcript, expressed"
"Sb10g022470"	"SORBI_3010G172200"	"Sobic.010G172200"	"AT4G39950.1"	"CYP79B2"	"cytochrome P450, family 79, subfamily B, polypeptide 2"	"LOC_Os03g37290.1"	"cytochrome P450, putative, expressed"
"Sb10g022520"	"SORBI_3010G172700"	"Sobic.010G172700"	"AT5G25900.1"	"ATKO1,CYP701A3,GA3"	"GA requiring 3"	"LOC_Os06g37364.2"	"cytochrome P450, putative, expressed"
"Sb10g022550"	"SORBI_3010G172900"	"Sobic.010G172900"	"AT5G26040.2"	"HDA2"	"histone deacetylase 2"	"LOC_Os06g37420.1"	"histone deacetylase, putative, expressed"
"Sb10g022560"	"SORBI_3010G173000"	"Sobic.010G173000"	"AT2G45320.1"	""	""	"LOC_Os06g37430.2"	"expressed protein"
"Sb10g022570"	"SORBI_3010G173100"	"Sobic.010G173100"	"AT1G09640.1"	""	"Translation elongation factor EF1B, gamma chain"	"LOC_Os06g37440.1"	"elongation factor 1-gamma, putative, expressed"
"Sb10g022580"	"SORBI_3010G173400"	"Sobic.010G173400"	"AT4G26150.1"	"CGA1,GATA22"	"cytokinin-responsive gata factor 1"	"LOC_Os06g37450.1"	"GATA zinc finger domain containing protein, expressed"
"Sb10g022610"	"SORBI_3010G173700"	"Sobic.010G173700"	"AT2G19580.1"	"TET2"	"tetraspanin2"	"LOC_Os06g37510.1"	"tetraspanin family protein, putative, expressed"
"Sb10g022620"	"SORBI_3010G173800"	"Sobic.010G173800"	"AT3G13750.1"	"BGAL1"	"beta galactosidase 1"	"LOC_Os06g37560.1"	"beta-galactosidase precursor, putative, expressed"
"Sb10g022670"	"SORBI_3010G174300"	"Sobic.010G174300"	"AT3G50180.1"	""	"Plant protein of unknown function (DUF247)"	"LOC_Os09g09550.1"	"plant protein of unknown function domain containing protein, expressed"
"Sb10g022680"	"SORBI_3010G174400"	"Sobic.010G174400"	"AT4G33110.2"	""	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"LOC_Os06g37610.1"	"Cyclopropane-fatty-acyl-phospholipid synthase, putative, expressed"
"Sb10g022690"	"SORBI_3010G174500"	"Sobic.010G174500"	"AT5G57035.1"	""	"U-box domain-containing protein kinase family protein"	"LOC_Os06g37620.1"	"protein kinase family protein, putative, expressed"
"Sb10g022720"	"SORBI_3010G174900"	"Sobic.010G174900"	"AT2G19130.1"	""	"S-locus lectin protein kinase family protein"	"LOC_Os06g37670.1"	"S-locus-like receptor protein kinase, putative, expressed"
"Sb10g022740"	"SORBI_3010G175000"	"Sobic.010G175000"	"AT1G77270.1"	""	""	"LOC_Os05g34920.1"	"expressed protein"
"Sb10g022730"	"SORBI_3010G175100"	"Sobic.010G175100"	"AT2G19130.1"	""	"S-locus lectin protein kinase family protein"	"LOC_Os06g37670.1"	"S-locus-like receptor protein kinase, putative, expressed"
"Sb10g022750"	"SORBI_3010G175500"	"Sobic.010G175500"	""	""	""	"LOC_Os06g38210.1"	"expressed protein"
"Sb10g022780"	"SORBI_3010G175800"	"Sobic.010G175800"	"AT1G17180.1"	"ATGSTU25,GSTU25"	"glutathione S-transferase TAU 25"	"LOC_Os07g28480.1"	"glutathione S-transferase, putative, expressed"
"Sb10g022800"	"SORBI_3010G175900"	"Sobic.010G175900"	"AT1G69850.1"	"ATNRT1-2,NRT1-2,NTL1"	"nitrate transporter 1-2"	"LOC_Os06g38294.1"	"peptide transporter PTR2, putative, expressed"
"Sb10g022810"	"SORBI_3010G176200"	"Sobic.010G176200"	"AT1G22750.4"	""	""	"LOC_Os06g38320.2"	"expressed protein"
"Sb10g022810"	"SORBI_3010G176200"	"Sobic.010G176200"	"AT1G22750.2"	""	""	"LOC_Os06g38320.3"	"expressed protein"
"Sb10g022820"	"SORBI_3010G176300"	"Sobic.010G176300"	"AT4G38130.1"	"ATHD1,ATHDA19,HD1,HDA1,HDA19,RPD3A"	"histone deacetylase 1"	"LOC_Os06g38470.1"	"histone deacetylase 19, putative, expressed"
"Sb10g022830"	"SORBI_3010G176400"	"Sobic.010G176400"	"AT5G15110.1"	""	"Pectate lyase family protein"	"LOC_Os06g38510.2"	"pectate lyase precursor, putative, expressed"
"Sb10g022870"	"SORBI_3010G176800"	"Sobic.010G176800"	"AT3G47740.1"	"ATATH2,ATH2"	"ABC2 homolog 2"	"LOC_Os06g38950.1"	"ABC transporter, ATP-binding protein, putative, expressed"
"Sb10g022890"	"SORBI_3010G177100"	"Sobic.010G177100"	"AT1G14390.1"	""	"Leucine-rich repeat protein kinase family protein"	"LOC_Os06g38970.1"	"expressed protein"
"Sb10g022900"	"SORBI_3010G177200"	"Sobic.010G177200"	"AT1G71770.1"	"PAB5"	"poly(A)-binding protein 5"	"LOC_Os06g38980.1"	"polyadenylate-binding protein, putative, expressed"
"Sb10g022900"	"SORBI_3010G177200"	"Sobic.010G177200"	"AT1G22760.1"	"PAB3"	"poly(A) binding protein 3"	"LOC_Os06g38980.1"	"polyadenylate-binding protein, putative, expressed"
"Sb10g022910"	"SORBI_3010G177300"	"Sobic.010G177300"	"AT1G34110.1"	""	"Leucine-rich receptor-like protein kinase family protein"	"LOC_Os06g38990.1"	"receptor-like protein kinase 2 precursor, putative, expressed"
"Sb10g022930"	"SORBI_3010G177500"	"Sobic.010G177500"	"AT1G61290.1"	"ATSYP124,SYP124"	"syntaxin of plants 124"	"LOC_Os06g39050.1"	"syntaxin, putative, expressed"
"Sb10g022940"	"SORBI_3010G177600"	"Sobic.010G177600"	"AT5G64790.1"	""	"O-Glycosyl hydrolases family 17 protein"	"LOC_Os06g39060.1"	"glucan endo-1,3-beta-glucosidase precursor, putative, expressed"
"Sb10g023000"	"SORBI_3010G178300"	"Sobic.010G178300"	"AT3G24503.1"	"ALDH1A,ALDH2C4,REF1"	"aldehyde dehydrogenase 2C4"	"LOC_Os01g40870.1"	"aldehyde dehydrogenase, putative, expressed"
"Sb10g023010"	"SORBI_3010G178500"	"Sobic.010G178500"	"AT3G24500.1"	"ATMBF1C,MBF1C"	"multiprotein bridging factor 1C"	"LOC_Os06g39240.1"	"endothelial differentiation-related factor 1, putative, expressed"
"Sb10g023020"	"SORBI_3010G178600"	"Sobic.010G178600"	"AT1G52360.1"	""	"Coatomer, beta\' subunit"	"LOC_Os02g11830.2"	"coatomer subunit beta, putative, expressed"
"Sb10g023050"	"SORBI_3010G178900"	"Sobic.010G178900"	"AT1G05560.1"	"UGT1,UGT75B1"	"UDP-glucosyltransferase 75B1"	"LOC_Os06g39270.1"	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
"Sb10g023060"	"SORBI_3010G179000"	"Sobic.010G179000"	"AT4G15550.1"	"IAGLU"	"indole-3-acetate beta-D-glucosyltransferase"	"LOC_Os06g39270.1"	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
"Sb10g023120"	"SORBI_3010G179500"	"Sobic.010G179500"	"AT4G15550.1"	"IAGLU"	"indole-3-acetate beta-D-glucosyltransferase"	"LOC_Os06g39330.1"	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
"Sb10g023140"	"SORBI_3010G179800"	"Sobic.010G179800"	"AT1G80440.1"	""	"Galactose oxidase/kelch repeat superfamily protein"	"LOC_Os06g39370.1"	"OsFBK16 - F-box domain and kelch repeat containing protein, expressed"
"Sb10g023150"	"SORBI_3010G179900"	"Sobic.010G179900"	"AT3G62160.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os06g39390.1"	"transferase family protein, putative, expressed"
"Sb10g023160"	"SORBI_3010G180100"	"Sobic.010G180100"	"AT3G62160.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os06g39470.1"	"transferase family protein, putative, expressed"
"Sb10g023220"	"SORBI_3010G180700"	"Sobic.010G180700"	"AT2G25620.1"	"AtDBP1,DBP1"	"DNA-binding protein phosphatase 1"	"LOC_Os06g39600.1"	"protein phosphatase 2C, putative, expressed"
"Sb10g023230"	"SORBI_3010G180800"	"Sobic.010G180800"	"AT5G43810.1"	"AGO10,PNH,ZLL"	"Stabilizer of iron transporter SufD / Polynucleotidyl transferase"	"LOC_Os06g39640.1"	"PINHEAD, putative, expressed"
"Sb10g023230"	"SORBI_3010G180800"	"Sobic.010G180800"	"AT5G43810.2"	"AGO10,PNH,ZLL"	"Stabilizer of iron transporter SufD / Polynucleotidyl transferase"	"LOC_Os06g39640.1"	"PINHEAD, putative, expressed"
"Sb10g023240"	"SORBI_3010G181000"	"Sobic.010G181000"	"AT1G31430.1"	""	"Pentatricopeptide repeat (PPR-like) superfamily protein"	"LOC_Os06g39650.1"	"pentatricopeptide, putative, expressed"
"Sb10g023250"	"SORBI_3010G181100"	"Sobic.010G181100"	"AT5G11330.1"	""	"FAD/NAD(P)-binding oxidoreductase family protein"	"LOC_Os06g39660.1"	"FAD binding domain containing protein, expressed"
"Sb10g023280"	"SORBI_3010G181300"	"Sobic.010G181300"	"AT5G20140.1"	""	"SOUL heme-binding family protein"	"LOC_Os06g39690.1"	"SOUL heme-binding protein, putative, expressed"
"Sb10g023290"	"SORBI_3010G181500"	"Sobic.010G181500"	"AT2G26640.1"	"KCS11"	"3-ketoacyl-CoA synthase 11"	"LOC_Os06g39750.3"	"3-ketoacyl-CoA synthase, putative, expressed"
"Sb10g023300"	"SORBI_3010G181600"	"Sobic.010G181600"	"AT1G52730.2"	""	"Transducin/WD40 repeat-like superfamily protein"	"LOC_Os06g39760.1"	"WD domain, G-beta repeat domain containing protein, expressed"
"Sb10g023310"	"SORBI_3010G181900"	"Sobic.010G181900"	""	""	""	"LOC_Os03g42500.1"	"expressed protein"
